#x Curve1
0 0.999562
0.0236088 1.00197
0.0421585 1.00678
0.0573356 1.0116
0.0725126 1.01641
0.0910624 1.01882
0.106239 1.02363
0.118044 1.02604
0.123103 1.03085
0.126476 1.0453
0.129848 1.05011
0.133221 1.05492
0.139966 1.0453
0.141653 1.02845
0.145025 1.01641
0.146712 0.994748
0.153457 0.970678
0.15683 0.963457
0.160202 0.965864
0.163575 0.999562
0.165261 1.014
0.166948 1.03085
0.17032 1.05974
0.173693 1.10547
0.175379 1.11991
0.177066 1.13195
0.180438 1.1512
0.183811 1.15602
0.187184 1.15602
0.190556 1.1488
0.192243 1.12232
0.195616 1.11028
0.197302 1.09584
0.198988 1.07659
0.200675 1.06214
0.204047 1.03326
0.20742 0.994748
0.209106 0.968271
0.214165 0.941794
0.217538 0.929759
0.220911 0.924945
0.227656 0.951422
0.229342 0.968271
0.231029 0.977899
0.234401 1.0116
0.234401 1.0116
0.237774 1.05252
0.241147 1.0814
0.241147 1.0814
0.242833 1.11269
0.244519 1.12713
0.247892 1.1512
0.249578 1.17527
0.251265 1.18972
0.254637 1.20656
0.256324 1.21619
0.259696 1.22582
0.266442 1.22582
0.271501 1.2186
0.274874 1.20175
0.278246 1.18972
0.281619 1.1512
0.284992 1.14398
0.288364 1.10547
0.291737 1.08621
0.29511 1.05974
0.296796 1.03085
0.301855 0.98512
0.305228 0.965864
0.310287 0.946608
0.311973 0.934573
0.315346 0.929759
0.317032 0.920131
0.322091 0.920131
0.32715 0.924945
0.328836 0.934573
0.332209 0.944201
0.335582 0.958643
0.338954 0.980306
0.342327 1.00678
0.3457 1.03085
0.349073 1.07659
0.350759 1.09103
0.352445 1.10788
0.355818 1.12954
0.359191 1.15842
0.362563 1.18249
0.365936 1.21379
0.367622 1.23545
0.370995 1.24748
0.374368 1.27396
0.376054 1.29081
0.379427 1.30766
0.382799 1.32932
0.386172 1.34617
0.389545 1.3558
0.394604 1.36783
0.397976 1.37746
0.404722 1.37987
0.411467 1.37265
0.419899 1.3558
