#x Curve1
0 1.00438
0.00481541 1.00438
0.011236 1.00438
0.0160514 1.00438
0.0208668 1.00438
0.0256822 1.00438
0.0288925 1.00438
0.0337079 1.00438
0.0385233 1.00438
0.0449438 1.00438
0.0497592 1.00438
0.0561798 1.00438
0.0609952 1.01422
0.0674157 1.01422
0.0722311 1.01422
0.0786517 1.02407
0.0850722 1.02407
0.0914928 1.02407
0.0963082 1.02407
0.101124 1.03392
0.107544 1.03392
0.11236 1.03392
0.11878 1.03392
0.123596 1.03392
0.130016 1.03392
0.136437 1.03392
0.141252 1.03392
0.149278 1.04376
0.155698 1.04376
0.162119 1.04376
0.165329 1.04376
0.17175 1.05361
0.17817 1.05361
0.182986 1.05361
0.187801 1.05361
0.192616 1.05361
0.197432 1.05361
0.202247 1.05361
0.207063 1.05361
0.210273 1.05361
0.215088 1.06346
0.219904 1.06346
0.223114 1.06346
0.229535 1.06346
0.232745 1.0733
0.239165 1.06346
0.245586 1.0733
0.252006 1.08315
0.256822 1.08315
0.261637 1.08315
0.268058 1.08315
0.272873 1.08315
0.276083 1.093
0.280899 1.093
0.287319 1.093
0.292135 1.093
0.29695 1.10284
0.301766 1.10284
0.308186 1.10284
0.311396 1.11269
0.317817 1.11269
0.324238 1.11269
0.327448 1.11269
0.332263 1.11269
0.337079 1.12254
0.341894 1.11269
0.346709 1.12254
0.351525 1.13239
0.357945 1.12254
0.364366 1.13239
0.369181 1.13239
0.373997 1.14223
0.378812 1.14223
0.383628 1.14223
0.388443 1.15208
0.391653 1.15208
0.399679 1.15208
0.4061 1.16193
0.41252 1.16193
0.41573 1.17177
0.420546 1.16193
0.425361 1.17177
0.430177 1.17177
0.434992 1.18162
0.441413 1.18162
0.447833 1.19147
0.451043 1.19147
0.454254 1.19147
0.457464 1.19147
0.462279 1.20131
0.4687 1.20131
0.473515 1.21116
0.479936 1.21116
0.484751 1.22101
0.489567 1.22101
0.494382 1.22101
0.499197 1.23085
0.505618 1.23085
0.508828 1.2407
0.513644 1.2407
0.516854 1.2407
0.521669 1.25055
0.52809 1.26039
0.529695 1.27024
0.53451 1.28993
0.536116 1.29978
0.539326 1.30963
0.542536 1.30963
0.545746 1.30963
0.550562 1.29978
0.553772 1.28009
0.556982 1.26039
0.560193 1.2407
0.563403 1.20131
0.565008 1.18162
